name,website,district,state,region_category,party,committee
"Adams, Alma",https://adams.house.gov,12th,North Carolina,State,D,Agriculture|Education and Workforce
"Aderholt, Robert",https://aderholt.house.gov/,4th,Alabama,State,R,Appropriations
"Aguilar, Pete",https://aguilar.house.gov/,33rd,California,State,D,Appropriations
"Alford, Mark",https://alford.house.gov,4th,Missouri,State,R,Appropriations|Small Business
"Allen, Rick",https://allen.house.gov,12th,Georgia,State,R,Education and Workforce|Energy and Commerce
"Amo, Gabe",https://amo.house.gov,1st,Rhode Island,State,D,"Budget|Foreign Affairs|Science, Space, and Technology"
"Amodei, Mark",https://amodei.house.gov,2nd,Nevada,State,R,Appropriations|Natural Resources
"Ansari, Yassamin",https://ansari.house.gov/,3rd,Arizona,State,D,Oversight and Government Reform|Natural Resources
"Arrington, Jodey",https://arrington.house.gov,19th,Texas,State,R,Budget|Ways and Means
"Auchincloss, Jake",https://auchincloss.house.gov,4th,Massachusetts,State,D,Energy and Commerce
"Babin, Brian",https://babin.house.gov,36th,Texas,State,R,"Transportation and Infrastructure|Science, Space, and Technology"
"Bacon, Don",https://bacon.house.gov,2nd,Nebraska,State,R,Agriculture|Armed Services
"Baird, James",https://baird.house.gov/,4th,Indiana,State,R,"Agriculture|Foreign Affairs|Science, Space, and Technology"
"Balderson, Troy",https://balderson.house.gov,12th,Ohio,State,R,Energy and Commerce
"Balint, Becca",https://balint.house.gov,At-large,Vermont At Large,Unknown,D,Budget|Judiciary
"Barr, Andy",https://barr.house.gov/,6th,Kentucky,State,R,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
"Barragan, Nanette",https://barragan.house.gov,44th,California,State,D,Energy and Commerce
"Barrett, Tom",https://barrett.house.gov/,7th,Michigan,State,R,Transportation and Infrastructure|Veterans' Affairs
"Baumgartner, Michael",https://baumgartner.house.gov/,5th,Washington,State,R,Education and Workforce|Foreign Affairs|Judiciary
"Bean, Aaron",https://bean.house.gov,4th,Florida,State,R,Ways and Means
"Beatty, Joyce",https://beatty.house.gov,3rd,Ohio,State,D,Financial Services
"Begich, Nicholas",https://begich.house.gov/,At-large,Alaska At Large,Unknown,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology"
"Bell, Wesley",https://bell.house.gov/,1st,Missouri,State,D,Armed Services|Oversight and Government Reform
"Bentz, Cliff",https://bentz.house.gov,2nd,Oregon,State,R,Energy and Commerce|Natural Resources
"Bera, Ami",https://bera.house.gov,6th,California,State,D,Foreign Affairs|Intelligence
"Bergman, Jack",https://bergman.house.gov,1st,Michigan,State,R,Armed Services|Budget|Veterans' Affairs
"Beyer, Donald",https://beyer.house.gov,8th,Virginia,State,D,"Science, Space, and Technology|Ways and Means"
"Bice, Stephanie",https://bice.house.gov,5th,Oklahoma,State,R,Appropriations|House Administration
"Biggs, Andy",https://biggs.house.gov,5th,Arizona,State,R,Oversight and Government Reform|Judiciary
"Biggs, Sheri",https://sheribiggs.house.gov/,3rd,South Carolina,State,R,"Foreign Affairs|Homeland Security|Science, Space, and Technology"
"Bilirakis, Gus",https://bilirakis.house.gov/,12th,Florida,State,R,Energy and Commerce|Select Comm on the Strategic Competition US and China
"Bishop, Sanford",https://bishop.house.gov/,2nd,Georgia,State,D,Appropriations
"Boebert, Lauren",https://boebert.house.gov,4th,Colorado,State,R,Oversight and Government Reform|Natural Resources
"Bonamici, Suzanne",https://bonamici.house.gov,1st,Oregon,State,D,"Education and Workforce|Science, Space, and Technology"
"Bost, Mike",https://bost.house.gov/,12th,Illinois,State,R,Agriculture|Transportation and Infrastructure|Veterans' Affairs
"Boyle, Brendan",https://boyle.house.gov/,2nd,Pennsylvania,State,D,Budget|Ways and Means
